"","VARIABLE","Site","EXP_TYPE","SAMPLE_TYPE_BIN","MEAN_pg_C_ml","MAX_pg_C_ml","MIN_pg_C_ml","ORIGIN"
"1","eukCONC","Piccard","Bag","Non-vent",8656.30547946336,8656.30547946336,8656.30547946336,"bybiovolume"
"2","eukCONC","Piccard","Bag","Vent",142221.015441963,188660.530688318,95781.5001956076,"bybiovolume"
"3","eukCONC","Piccard","IGT","Vent",188660.530688318,217685.22771729,159635.833659346,"bybiovolume"
"4","eukCONC","VD","Bag","Non-vent",17222.2700099001,17222.2700099001,17222.2700099001,"bybiovolume"
"5","eukCONC","VD","Bag","Vent",121250.671838531,169794.477619486,38094.9148505257,"bybiovolume"
"6","eukCONC","VD","IGT","Vent",237035.025736605,391833.409891122,145123.48514486,"bybiovolume"
"7","microCONC","Piccard","Bag","Non-vent",1287.4775308642,1287.4775308642,1287.4775308642,"sizefrac"
"8","microCONC","Piccard","Bag","Vent",2414.02037037037,4828.04074074074,0,"sizefrac"
"9","microCONC","Piccard","IGT","Vent",4828.04074074074,9656.08148148148,0,"sizefrac"
"10","microCONC","VD","Bag","Non-vent",3156.39652727997,3156.39652727997,3156.39652727997,"sizefrac"
"11","microCONC","VD","Bag","Vent",2824.40383333333,6879.95805555556,0,"sizefrac"
"12","microCONC","VD","IGT","Vent",8046.73456790123,19312.162962963,0,"sizefrac"
"13","nanoCONC","Piccard","Bag","Non-vent",181.926172839506,181.926172839506,181.926172839506,"sizefrac"
"14","nanoCONC","Piccard","Bag","Vent",845.956703703704,1091.55703703704,600.35637037037,"sizefrac"
"15","nanoCONC","Piccard","IGT","Vent",1091.55703703704,1182.52012345679,1000.59395061728,"sizefrac"
"16","nanoCONC","VD","Bag","Non-vent",350.74583645294,350.74583645294,350.74583645294,"sizefrac"
"17","nanoCONC","VD","Bag","Vent",706.783181481482,1036.97918518519,238.778101851852,"sizefrac"
"18","nanoCONC","VD","IGT","Vent",1334.12526748971,2456.00333333333,727.704691358025,"sizefrac"
"19","totaleuk","Piccard","Bag","Non-vent",1469.4037037037,1469.4037037037,1469.4037037037,"sizefrac"
"20","totaleuk","Piccard","Bag","Vent",3259.97707407407,5919.59777777778,600.35637037037,"sizefrac"
"21","totaleuk","Piccard","IGT","Vent",5919.59777777778,10838.6016049383,1000.59395061728,"sizefrac"
"22","totaleuk","VD","Bag","Non-vent",3507.14236373291,3507.14236373291,3507.14236373291,"sizefrac"
"23","totaleuk","VD","Bag","Vent",3531.18701481481,7753.20368518519,238.778101851852,"sizefrac"
"24","totaleuk","VD","IGT","Vent",9380.85983539095,20494.6830864198,2456.00333333333,"sizefrac"
